iter	Passed	Remaining
0	3	344
1	6	339
2	10	328
3	13	315
4	16	314
5	19	308
6	22	305
7	26	301
8	29	296
9	32	294
10	36	292
11	39	289
12	42	286
13	46	288
14	52	297
15	58	304
16	63	308
17	68	310
18	72	308
19	76	307
20	81	307
21	86	305
22	90	303
23	95	300
24	99	298
25	103	295
26	107	289
27	110	282
28	112	276
29	115	269
30	117	262
31	120	255
32	122	247
33	123	240
34	125	233
35	127	227
36	129	220
37	131	214
38	132	207
39	134	201
40	136	195
41	136	188
42	137	182
43	138	176
44	139	170
45	140	165
46	141	159
47	142	154
48	144	150
49	145	145
50	146	141
51	150	138
52	151	134
53	151	129
54	152	124
55	153	120
56	154	116
57	154	112
58	155	108
59	156	104
60	157	100
61	157	96
62	158	93
63	159	89
64	160	86
65	161	82
66	161	79
67	162	76
68	163	73
69	164	70
70	164	67
71	165	64
72	166	61
73	167	58
74	167	55
75	168	53
76	169	50
77	170	47
78	170	45
79	171	42
80	172	40
81	173	37
82	173	35
83	174	33
84	175	30
85	175	28
86	176	26
87	177	24
88	178	22
89	178	19
90	179	17
91	180	15
92	181	13
93	181	11
94	182	9
95	183	7
96	183	5
97	184	3
98	185	1
99	185	0
