iter	Passed	Remaining
0	134	134712
1	136	68185
2	138	45970
3	139	34847
4	141	28147
5	143	23715
6	144	20490
7	145	18071
8	147	16237
9	149	14807
10	151	13593
11	152	12580
12	153	11692
13	155	10944
14	156	10286
15	158	9737
16	160	9265
17	161	8829
18	163	8453
19	165	8118
20	167	7789
21	168	7476
22	169	7207
23	170	6952
24	173	6769
25	175	6574
26	177	6386
27	178	6203
28	179	6023
29	181	5864
30	183	5720
31	185	5596
32	186	5459
33	188	5341
34	189	5230
35	190	5113
36	191	4994
37	193	4892
38	194	4790
39	196	4711
40	197	4616
41	198	4531
42	199	4445
43	201	4371
44	202	4293
45	203	4216
46	204	4142
47	205	4077
48	207	4019
49	208	3962
50	210	3907
51	211	3848
52	212	3792
53	213	3739
54	214	3686
55	215	3635
56	216	3587
57	218	3543
58	219	3500
59	220	3454
60	221	3410
61	222	3365
62	223	3329
63	224	3287
64	225	3249
65	227	3217
66	228	3182
67	230	3155
68	231	3121
69	232	3087
70	233	3051
71	234	3020
72	235	2990
73	236	2963
74	237	2933
75	238	2902
76	239	2873
77	240	2844
78	241	2820
79	243	2799
80	244	2771
81	245	2746
82	246	2718
83	246	2692
84	247	2669
85	249	2650
86	250	2627
87	251	2603
88	252	2584
89	253	2563
90	254	2544
91	255	2524
92	256	2505
93	257	2484
94	258	2467
95	259	2447
96	261	2434
97	262	2418
98	263	2398
99	264	2381
100	265	2366
101	266	2349
102	268	2337
103	269	2320
104	270	2303
105	271	2287
106	272	2271
107	273	2256
108	274	2241
109	275	2226
110	276	2211
111	277	2198
112	278	2184
113	279	2175
114	280	2161
115	281	2146
116	282	2130
117	283	2118
118	284	2106
119	286	2102
120	287	2092
121	289	2080
122	290	2069
123	291	2056
124	292	2045
125	293	2033
126	294	2022
127	295	2012
128	297	2005
129	298	1996
130	299	1987
131	300	1976
132	302	1969
133	303	1962
134	304	1954
135	306	1945
136	307	1936
137	309	1932
138	310	1923
139	311	1912
140	312	1904
141	313	1892
142	314	1883
143	315	1877
144	316	1868
145	318	1864
146	319	1855
147	320	1847
148	322	1840
149	323	1832
150	324	1823
151	325	1815
152	327	1810
153	328	1805
154	329	1797
155	330	1790
156	332	1782
157	333	1778
158	335	1772
159	335	1763
160	336	1754
161	337	1747
162	338	1739
163	340	1734
164	341	1728
165	342	1720
166	343	1714
167	344	1708
168	346	1703
169	347	1697
170	348	1689
171	349	1682
172	350	1675
173	352	1671
174	353	1666
175	354	1659
176	355	1653
177	356	1647
178	357	1641
179	359	1636
180	360	1630
181	361	1624
182	362	1620
183	365	1620
184	366	1616
185	368	1612
186	371	1613
187	372	1608
188	373	1602
189	374	1596
190	375	1590
191	377	1588
192	378	1583
193	379	1577
194	380	1572
195	382	1567
196	383	1562
197	384	1557
198	385	1551
199	386	1545
200	387	1539
201	388	1534
202	390	1531
203	391	1527
204	392	1523
205	393	1518
206	395	1513
207	396	1509
208	397	1504
209	398	1498
210	399	1494
211	400	1489
212	402	1485
213	403	1480
214	404	1475
215	405	1471
216	406	1466
217	407	1461
218	408	1457
219	409	1451
220	410	1446
221	411	1441
222	412	1436
223	413	1433
224	414	1429
225	415	1423
226	416	1418
227	417	1414
228	418	1408
229	419	1403
230	426	1418
231	427	1415
232	429	1413
233	430	1409
234	432	1406
235	433	1402
236	433	1396
237	434	1391
238	435	1386
239	436	1381
240	437	1376
241	438	1372
242	439	1369
243	440	1366
244	441	1361
245	443	1358
246	444	1355
247	446	1352
248	446	1348
249	447	1343
250	448	1339
251	449	1335
252	451	1333
253	452	1329
254	453	1324
255	454	1321
256	455	1317
257	456	1313
258	457	1309
259	459	1306
260	459	1302
261	460	1298
262	462	1294
263	462	1290
264	464	1288
265	465	1284
266	466	1280
267	467	1277
268	468	1273
269	469	1270
270	471	1267
271	472	1264
272	473	1260
273	474	1256
274	475	1252
275	476	1249
276	477	1245
277	478	1242
278	479	1239
279	480	1236
280	482	1234
281	483	1230
282	484	1227
283	485	1222
284	486	1219
285	487	1216
286	488	1214
287	490	1211
288	491	1209
289	492	1206
290	493	1202
291	494	1200
292	495	1196
293	496	1193
294	497	1189
295	498	1186
296	500	1183
297	501	1181
298	502	1178
299	504	1176
300	505	1173
301	506	1170
302	507	1167
303	508	1164
304	509	1161
305	511	1159
306	512	1156
307	513	1154
308	514	1150
309	515	1148
310	517	1145
311	518	1142
312	519	1140
313	520	1137
314	538	1171
315	540	1169
316	541	1166
317	542	1163
318	543	1160
319	545	1158
320	546	1156
321	547	1153
322	549	1150
323	550	1147
324	551	1145
325	552	1143
326	553	1140
327	555	1137
328	556	1134
329	558	1133
330	559	1130
331	560	1126
332	560	1123
333	562	1121
334	563	1118
335	565	1116
336	566	1114
337	567	1111
338	568	1108
339	570	1107
340	571	1105
341	572	1101
342	574	1100
343	575	1097
344	577	1095
345	578	1093
346	579	1091
347	580	1088
348	582	1086
349	583	1084
350	585	1081
351	586	1079
352	587	1076
353	589	1075
354	590	1073
355	591	1070
356	592	1068
357	595	1067
358	596	1064
359	596	1061
360	598	1058
361	599	1055
362	601	1055
363	602	1052
364	603	1050
365	604	1047
366	606	1045
367	607	1043
368	608	1040
369	609	1038
370	611	1035
371	612	1033
372	614	1032
373	615	1029
